Date,Open,High,Low,Close,Volume
2000-01-03,56.73815686263593,57.60363416967164,54.525009029115544,54.895931243896484,615855
2000-01-04,56.13233407383675,56.13233407383675,49.70307922363281,49.70307922363281,1691700
2000-01-05,48.83759245656386,49.33215224144684,46.98300033796017,48.02157211303711,1563735
2000-01-06,47.972113183701346,47.972113183701346,46.03097389144733,47.47755813598633,1641215
2000-01-07,47.23027825389309,47.47755813598633,45.758965549497624,47.47755813598633,1360530
2000-01-10,47.97213003407713,51.11257479186894,47.95976815804247,49.480533599853516,2381515
2000-01-11,50.444915771484375,51.310393227042276,49.703080647562,50.444915771484375,1157955
2000-01-12,50.27180987630382,53.412253643894125,50.073986906812316,52.670413970947266,1444595
2000-01-13,52.91768033858596,56.21885589915571,52.54676295513789,55.88502883911133,1356875
2000-01-14,56.379580684888,58.45672357799684,54.30243779177916,58.11053466796875,1059010
2000-01-17,57.98691897623564,58.60511638657303,56.65161030600036,57.49235916137695,834585
2000-01-18,57.850923251228245,57.850923251228245,53.32571773446835,55.14321517944336,927620
2000-01-19,53.721362341991394,54.48792590209698,53.288621272992955,54.4013786315918,747945
2000-01-20,55.88505427887706,55.88505427887706,52.546786875271195,54.77229690551758,1666055
2000-01-21,54.03043688038593,54.27771670668729,51.149635629445264,53.5358772277832,1833120
2000-01-24,52.93005653798003,53.758438687594804,52.23767383770446,53.04133224487305,824065
2000-01-25,51.95330206656945,52.546770913260325,51.37219509072851,51.92857360839844,592380
2000-01-26,51.74311253035142,52.71986540398627,51.70602220133047,51.92857360839844,534475
2000-01-27,51.8173098733893,52.76933450874743,51.681305680270675,52.052223205566406,1080090
2000-01-28,52.05221904910224,52.67041644738836,50.655096324835355,52.17586135864258,629910
2000-01-31,51.298028219940164,51.35984702374702,50.19763275969948,50.81583023071289,773295
2000-02-01,51.43402770172629,51.43402770172629,49.703077612772205,50.81583023071289,743770
2000-02-02,51.42165355931278,53.04133224487304,50.506719445251186,53.04133224487305,1266095
2000-02-03,53.16498639159317,55.26685888990419,52.732250016855346,54.512657165527344,940870
2000-02-04,54.57445462508275,55.63775469160204,53.47406423137308,54.52499771118164,718850
2000-02-07,54.52498694397842,54.6486292043152,53.436963351834564,54.09225082397461,541500
2000-02-08,53.783182736519116,55.94687399603425,53.65954512256445,55.39049530029297,661910
2000-02-09,54.77230448873999,54.908308710588436,51.31039899389249,53.15262985229492,1074740
2000-02-10,52.29950724089408,52.29950724089408,48.33068044681333,48.49141311645508,2134190
2000-02-11,49.45578166622769,50.605628967285156,48.67685178437276,50.605628967285156,1972905
2000-02-14,49.82670159304532,50.60563151410125,49.45578415517573,50.506717681884766,645765
2000-02-15,50.44491008083523,50.50672888144292,48.83759768267455,49.171424865722656,738530
2000-02-16,50.25946214115222,50.32128095216828,48.09577074027927,49.57944107055664,995870
2000-02-17,49.703074237245914,49.95035415215203,48.23176133761417,48.83759689331055,1110390
2000-02-18,49.20851729013763,49.369249951713364,44.7574974269689,46.51317596435547,1922805
2000-02-21,45.49934374171656,45.49934374171656,43.397470897212095,45.2520637512207,905375
2000-02-22,45.74661307499326,46.26589668923507,44.68331266510108,44.81931686401367,1208000
2000-02-23,45.02949593155315,45.49932727177742,44.63384997656593,45.0047721862793,1003730
2000-02-24,45.87024076101128,47.9597507896458,45.62296559808275,46.216434478759766,1268805
2000-02-25,47.23029229528747,48.961242551602446,46.983012339678794,48.67687225341797,842805
2000-02-28,47.84847007678531,48.21938749886703,46.30297688771906,47.61355209350586,1549300
2000-02-29,48.2070262719071,48.21938814233739,46.970631704154854,47.66300964355469,901905
2000-03-01,47.42810214784008,47.539377861144104,46.117522048533964,47.44046401977539,730665
2000-03-02,46.98301262030639,47.32920173034258,45.87025517165735,46.859375,801500
2000-03-03,45.511705967757536,46.241179275655746,44.51022422476991,45.128421783447266,1242345
2000-03-06,45.116044417422245,45.239682000118876,43.39745183252174,44.07747268676758,1451610
2000-03-07,43.768383417350705,47.47756829283899,43.65710768242716,46.364810943603516,2170085
2000-03-08,45.84551992358492,47.4775606280033,45.22732254413941,45.956790924072266,772800
2000-03-09,48.21939181233881,48.590309267601,46.63680815443544,47.341552734375,2363795
2000-03-10,49.08487341851597,51.92858045237551,49.08487341851597,51.55766296386719,2945760
2000-03-13,10.311532592773437,10.311532592773437,10.311532592773437,51.55766296386719,0
2000-03-14,54.525027277553896,56.045797547594674,53.22681324074994,54.92067337036133,1332160
2000-03-15,54.401381569347166,55.14321670415825,53.78318405151368,53.78318405151367,1421165
2000-03-16,54.834112391056756,54.89593590975617,53.16498114856288,53.84499740600586,699600
2000-03-17,54.40137732703179,54.5250149343679,51.69367410800277,53.28861999511719,1152325
2000-03-20,51.928594627559804,52.509701838615776,51.06311710713919,51.42167282104492,751515
2000-03-21,50.692187837955416,50.92710115683555,49.777253591973924,50.197628021240234,845610
2000-03-22,49.59182325556626,51.767877216259606,49.48054747416025,50.56857681274414,1231170
2000-03-23,51.0631033421974,51.31038324086944,49.39397227998674,50.383087158203125,956260
2000-03-24,50.69218449623223,54.37664026681105,49.61652238972912,52.917694091796875,2506280
2000-03-27,53.65954225007032,53.69663258897667,52.57151338291741,53.28861999511719,379550
2000-03-28,52.546789287580076,54.40138185067114,52.175871718256424,53.33808135986328,742485
2000-03-29,52.781696329513224,54.141733542863115,52.17586547264801,53.436988830566406,571225
2000-03-30,52.423133338876404,53.10314943093025,51.903845150227426,51.92857360839844,613890
2000-03-31,51.92858279637893,54.05518341064453,51.43402297839606,54.05518341064453,1054950
2000-04-03,54.00573132378935,54.00573132378935,52.08932011124521,53.28861999511719,551460
2000-04-04,53.288621272992955,55.14321372634268,52.54678617824207,54.4013786315918,863865
2000-04-05,54.40137732703179,54.40137732703179,51.33511844366669,53.28861999511719,1200080
2000-04-06,54.21592233398774,54.21592233398774,51.92859332415577,53.3133544921875,659470
2000-04-07,53.164978236357754,53.498805409865014,51.94094526683113,53.41225814819336,657590
2000-04-10,53.412253875909755,53.78317135575859,52.54677661194805,52.917694091796875,578585
2000-04-11,53.42462085851262,53.64717231100474,52.05222180696856,53.0166130065918,470270
2000-04-12,53.78316822023284,54.27772797551318,52.17585609027877,53.65953063964844,404905
2000-04-13,52.79405911791278,53.90681161255323,52.20059017747683,53.47407531738281,399260
2000-04-14,10.694814591829374,10.694814591829374,10.694814591829374,53.47407531738281,0
2000-04-17,49.45579499827326,53.53589714233638,49.02305867862724,53.14025115966797,1474040
2000-04-18,53.14025559333612,53.5359016090146,51.434029202927356,53.18971252441406,1510210
2000-04-19,53.28862035213827,53.53590028493961,51.743126667720425,52.73224639892578,1046600
2000-04-20,53.01662078293647,54.27774429321289,52.54678934582029,54.27774429321289,765615
2000-04-21,10.85554815117166,10.85554815117166,10.85554815117166,54.27774429321289,0
